sexe;preusuel;annais;nombre
1;ARMANI;2020;4
2;CAROLINE;1919;133
2;PIERA;1964;4
2;THEA;1993;17
2;SOUMEYYA;2009;7
1;TOUSSAINT;1922;92
1;RENATO;1973;14
1;SAFI;1978;5
2;HUBERTE;1944;12
2;BAYEN;2020;14
2;JANNICK;1937;6
2;LINETTE;1959;8
1;ORSON;2010;3
1;COLAS;1971;3
1;ELISHA;2019;12
1;NOAMAN;XXXX;36
1;INGO;1953;3
2;JOLINA;2014;3
2;OUASSILA;2002;5
2;MARIE-CATHERINE;1973;55
1;JIMMY;1976;688
2;PAULINA;2018;5
2;EDA-NUR;2008;3
1;FRANCK;2015;31
2;MYLÈNE;1986;715
2;GLWADYS;2008;12
1;ANDREI;2007;14
2;HILDE;1931;6
1;JOCELYN;1931;11
1;CRAIG;1962;3
2;ALIMA;2012;21
2;LORELEÏ;1999;6
1;MAURICE;1921;9530
1;RODRIGUE;1969;132
1;KÉZIAH;2015;21
1;IOEN;2006;8
1;HUSEIN;2014;4
2;CYRIA;2014;3
2;SHERYANE;2001;3
2;CELESTINE;1998;42
1;ENGEL;2005;3
2;ANY;1936;9
2;BENOITE;1963;6
2;MARIE-ALIX;1999;22
2;BEYDA;1999;3
2;MARIE-ELISA;1998;3
2;JULIE-ANNE;1983;14
1;SAINT-MARTIN;1908;8
2;SAHONA;2005;3
2;SWANN;1978;3
2;ALIX;1972;76
2;HADA;1983;5
1;YACER;2001;6
1;GUISEPPE;1974;11
2;ROSSANA;1966;4
2;IRINA;2000;57
1;ANGÉLO;XXXX;34
1;KEVYN;1981;7
1;JEAN-PHILIPPE;1976;1169
1;ANDRÉ-MARIE;1954;11
2;AFAF;2020;3
2;SURA;XXXX;22
2;JOSIANNE;1942;107
2;VANIDA;1985;5
2;DONNA;XXXX;10
2;NATACHA;1939;5
2;YANA;1948;3
1;MEJD;2011;3
1;OLAN;2006;10
2;KINTANA;XXXX;27
1;MEHDI;1959;3
1;CHARLY;1981;127
2;STEPHANIE;2016;9
1;HEINDY;2004;3
2;HELLINE;2002;4
2;MAÉNA;2014;29
2;LOU-HANN;2006;3
2;ANNIK;1958;33
2;MARIE-ANNE;1934;30
2;ERSILIA;1926;6
2;ELIANNE;1909;13
2;MARIE-MARCELLE;XXXX;53
1;HONORÉ;2017;39
2;ADRIANNE;1995;3
1;SLOBODAN;1970;8
1;LOGANE;1996;6
1;JIM;1933;13
1;MOHAMED;1978;1321
1;HÉLYO;2013;3
2;AIDA;2018;8
